"id","name","category","description","start_date"
1000,Fat Burner Audi,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1592498493000
1001,Mazda,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582474057000
1002,BWM,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1579365755000
1003,Toyota,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1585159440000
1004,Mazda,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1583574198000
1005,Audi,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586674958000
1006,Renault,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1588390278000
1007,VW,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1584070396000
1008,VW,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1588508838000
1009,Audi,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1581408419000
1010,Fiat,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1580795020000
1011,Toyota,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1591761952000
1012,Audi,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582158776000
1013,Audi,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1585379517000
1014,Mercedes-Benz,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1592850063000
1015,Mercedes-Benz,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589609951000
1016,Audi,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1588030368000
1017,Mazda,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1584849954000
1018,Renault,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1580893831000
1019,Audi,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582628564000
1020,Toyota,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589944141000
1021,VW,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1590553239000
1022,Mercedes-Benz,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587221099000
1023,Toyota,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1591273824000
1024,Mazda,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1581660779000
1025,Renault,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587517756000
1026,Renault,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1581586621000
1027,Mazda,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1590670736000
1028,Fiat,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587129979000
1029,Mazda,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1579857774000
1030,Mercedes-Benz,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1591497948000
1031,Mercedes-Benz,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582570437000
1032,Audi,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1581787627000
1033,Fiat,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589234927000
1034,Toyota,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1584859492000
1035,Mercedes-Benz,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1580629750000
1036,Renault,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582904126000
1037,Fiat,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1591879943000
1038,Renault,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1591938644000
1039,Mercedes-Benz,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1583662532000
1040,Renault,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1585033492000
1041,Mazda,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1584350765000
1042,Renault,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1581019075000
1043,Mazda,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582409841000
1044,Toyota,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586115508000
1045,Renault,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586270694000
1046,Mazda,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1581332797000
1047,Toyota,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1580970748000
1048,VW,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1583761967000
1049,Mercedes-Benz,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1579777944000
1050,Mercedes-Benz,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586059293000
1051,Renault,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1590394634000
1052,BWM,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1581485601000
1053,Toyota,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586579865000
1054,Toyota,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1581186504000
1055,Audi,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1591676236000
1056,Fiat,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587991051000
1057,Mercedes-Benz,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589985725000
1058,Mazda,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582533594000
1059,Mercedes-Benz,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1583855856000
1060,Fiat,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582064662000
1061,Renault,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1584162238000
1062,BWM,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1590199496000
1063,Audi,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1590558828000
1064,VW,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589308629000
1065,Mazda,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587723568000
1066,VW,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1583372572000
1067,Mercedes-Benz,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582748036000
1068,Mazda,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589076249000
1069,Toyota,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587630990000
1070,Toyota,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1588515457000
1071,Mazda,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1583349975000
1072,Fiat,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586860807000
1073,Mercedes-Benz,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587622183000
1074,Audi,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1580728218000
1075,Audi,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1584342774000
1076,Renault,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587421502000
1077,Mercedes-Benz,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1591504141000
1078,Mazda,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1591065680000
1079,Renault,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589254230000
1080,Fiat,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586270338000
1081,Audi,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589139492000
1082,Renault,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1590112001000
1083,Toyota,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586142920000
1084,BWM,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1579532268000
1085,Audi,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587939761000
1086,Toyota,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1585297929000
1087,Toyota,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589775618000
1088,Audi,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1590324444000
1089,Mercedes-Benz,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586275300000
1090,Audi,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1581823028000
1091,Renault,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1584338895000
1092,Fiat,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1592722688000
1093,Audi,C1,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582819878000
1094,Audi,C2,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1589898902000
1095,Fiat,C3,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587505887000
1096,Mazda,C4,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1587720563000
1097,Renault,C6,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1586459117000
1098,Toyota,C7,"New to yoga? This is a perfect place to start. \""Yoga Basics\"" is designed to strengthen and stretch your entire body with flowing yoga sessions. Your dedicated yoga instructor will carefully guide you through each asana movement. Leave each yoga workout feeling calm and more centered.",1582367324000
